 -1.70846064807309927e-13 -1.12968336235502899e-16  3.44079997228546223e-19
  3.88352831741255719e-21  7.35680772273758611e-25 -5.23145767804504042e-26
1957+20    18-Jun-14  170000.00   56826.70833333330            29.124020 -0.481 -7.082
 299218274049.957960  622.122028784041   ao  300   12   350.000 0.0334   2.6180
 -6.29337514011785171e-08  1.95989277930237793e+00  3.58776667348629499e-03
 -3.51312577923801361e-06 -3.82105501948111120e-08  2.33628192010336005e-11
  1.65675813752424869e-13 -7.34171720456936209e-17 -3.85519876052750443e-19
  1.36616458420891292e-22  5.24550643764409426e-25 -1.54219469937613991e-28
1957+20    18-Jun-14  210000.00   56826.87500000000            29.124020 -0.493 -6.807
 299227233152.183697  622.122028784041   ao  300   12   350.000 0.4699   2.6180
 -6.93880244755085140e-08  1.92751382991770726e+00 -3.50818948536996567e-03
 -1.98419882802795376e-06  3.88598686658466999e-08  1.24452754027218970e-11
 -1.69384138054511531e-13 -3.86973830419353397e-17  3.92225645540706465e-19
  7.07793752632562538e-23 -5.24016542359685058e-25 -6.72098710255570576e-29
1957+20    19-Jun-14   20000.00   56827.08333333330            29.124020 -0.496 -4.400
 299238431794.710001  622.122028784041   ao  300   12   350.000 0.0153   2.6180
 -1.26853682630538589e-05  1.94548912045461542e+00  3.53109998757603852e-03
 -2.19421415490008091e-06 -3.89172046771637083e-08  1.37552865233345769e-11
  1.70697025651068810e-13 -6.72138542703460962e-17 -4.41595576421641007e-19
  1.12548422481469352e-21  1.20426411498219645e-24 -1.56380547654932767e-26
1957+20    19-Jun-14   70000.00   56827.29166666660            29.124020 -0.480 -7.013
 299249630644.066989  622.122028784041   ao  300   12   350.000 0.5607   2.6180
 -9.71434517514635498e-08  1.52466120489357326e+00 -3.41099823837051922e-03
  5.81049173895588768e-06  3.59222994785424950e-08 -3.77689577018767744e-11
 -1.55598893228761715e-13  1.16600395236712471e-16  3.61627710989864018e-19
 -2.05844475694655399e-22 -4.92175071666564341e-25  2.10449510949897030e-28
1957+20    19-Jun-14  120000.00   56827.50000000000            29.124020 -0.466 -4.387
 299260829276.385279  622.122028784041   ao  300   12   350.000 0.1061   2.6180
 -1.22193738207390656e-06  2.15583478949442808e+00  2.69401254076412399e-03
 -8.92795760203030435e-06 -2.95836579670871540e-08  5.90995454562160320e-11
  1.27425140077021284e-13 -1.78938538195530645e-16 -2.36571584455761963e-19
  2.03099378051468570e-22 -6.11335572135954608e-25  5.21443310051278947e-28
1957+20    19-Jun-14  170000.00   56827.70833333330            29.124020 -0.472 -7.085
 299272028067.300093  622.122028784041   ao  300   12   350.000 0.6515   2.6180
 -3.04908816320392795e-08  1.22503930936358074e+00 -1.85220876254340487e-03
  1.17082936901628082e-05  2.09719751001433019e-08 -7.60049796651961800e-11
 -9.20321198819795142e-14  2.35715017636779283e-16  2.15955006477114506e-19
 -4.25254657353144010e-22 -3.01026709557583237e-25  4.82904283749343245e-28
1957+20    19-Jun-14  210000.00   56827.87500000000            29.124020 -0.484 -6.781
 299280986977.115264  622.122028784041   ao  300   12   350.000 0.0880   2.6180
 -1.11108516866187390e-08  2.16625426013145095e+00  3.05720530893211374e-03
 -7.94502169473655558e-06 -3.25381660616505485e-08  5.13564023691848808e-11
  1.40921040773744244e-13 -1.59897294667761161e-16 -3.26645270448191906e-19
  2.90100077976134679e-22  4.39502216809533145e-25 -2.81658821452398279e-28
1957+20    20-Jun-14   20000.00   56828.08333333330            29.124019 -0.486 -4.183
 299292185799.389867  622.122028784041   ao  300   12   350.000 0.6334   2.6180
 -1.73697479895259382e-05  1.32250561464844396e+00 -2.33194929964928655e-03
  1.05681756052729236e-05  2.48358361475718623e-08 -6.95228620239671774e-11
 -1.05745873963595081e-13  1.87383018055900098e-16  1.40873061422071251e-19
  9.70185588731080654e-22  1.50364422773555729e-24 -2.15013645981193895e-26
1957+20    20-Jun-14   70000.00   56828.29166666660            29.124019 -0.470 -7.070
 299303384476.198354  622.122028784041   ao  300   12   350.000 0.1789   2.6180
 -6.46192361373337798e-08  2.33958589393391980e+00  1.26786083811436111e-03
 -1.27143211397504112e-05 -1.49496326528865371e-08  8.30725240756262543e-11
  6.54704708718271499e-14 -2.58237931006476182e-16 -1.50379672520527990e-19
  4.68326650959554330e-22  1.93775083271875862e-25 -5.34071865821295283e-28
1957+20    20-Jun-14  120000.00   56828.50000000000            29.124019 -0.456 -4.513
 299314583216.996942  622.122028784041   ao  300   12   350.000 0.7243   2.6180
  8.09257616508993888e-06  1.07123324872973602e+00 -4.23360746344678292e-04
  1.38746371745920579e-05  4.34120641876318044e-09 -8.96044558345495244e-11
 -2.03492459083585428e-14  2.70741747728202835e-16  1.08318447225336794e-19
 -1.30335653007928703e-22 -1.04192832071602157e-24 -5.52413992117692297e-27
1957+20    20-Jun-14  170000.00   56828.70833333330            29.124019 -0.462 -7.026
 299325781929.331821  622.122028784041   ao  300   12   350.000 0.2697   2.6180
 -3.00503749731118042e-08  2.34904488183337357e+00 -5.45374098597087905e-04
 -1.35120631273515182e-05  6.75916855864582855e-09  8.84748967344239794e-11
 -3.01186115615310396e-14 -2.74416602554965659e-16  7.12259175987142753e-20
  4.90923363074953394e-22 -1.01847148537244084e-25 -5.13142342140705122e-28
